id_number,title_ch,authors_ch,institutions,funding,journal,journal_issue,keywords_ch,abstract_ch
649,低血压灌注对无心跳大鼠肺支气管肺泡灌洗液中不同白细胞及HMGB1的影响,张航; 韩敬泉; 夏恩迪; 崔键; 曹守强; 赵桂彬; 张凯; 刘成; 张翔宇,哈尔滨医科大学附属第四医院胸外科,哈尔滨市科技局基金项目(RC2011XK004053);黑龙江省科技厅应用技术研究与开发计划项目(GA14C101),现代生物医学进展; Progress in Modern Biomedicine,2016年24期,无心跳供体; 白细胞; HMGB1; 肺泡灌洗液,目的:研究低血压灌注对无心跳大鼠肺支气管肺泡灌洗液中不同白细胞及HMGB1的影响。方法:将32只180-200g SD雄性大鼠随机分成对照组[sham]、缺血30min组[30I]、缺血60 min组[60I]和缺血90 min组[90I](n=8)，4组大鼠分别接受麻醉后持续机械通气，测定并统计各组支气管肺泡灌洗液中总白细胞计数及不同白细胞计数，免疫印迹法检测支气管肺泡灌洗液中HMGB1蛋白的表达。结果:总白细胞、巨噬细胞、淋巴细胞计数及HMGB1蛋白表达均随着低血压灌注时间的延长而逐渐增加，尤其在[60I]和[90I]两组，灌洗液中巨噬细胞和淋巴细胞计数有显著增高，并且巨噬细胞和淋巴细胞与HMGB1蛋白表达呈正相关。结论:本研究证实HMGB1蛋白表达和巨噬细胞，淋巴细胞计数在低血压灌注缺血期内升高，提示HMGB1蛋白可能具有驱动炎症反应的作用。
172,心脏移植供心的保护,黄小蝶; 叶晓青,广东深圳市孙逸仙心血管医院麻醉科; 广东深圳市孙逸仙心血管医院麻醉科 518001; 518001,NA,中国基层医药; Chinese Journal of Primary Medicine Pharmacy,2004年08期,心脏移植; 心肌保护,目的　总结同种异体心脏移植供心保护经验。方法　 4例终末期扩张性心脏病心脏移植手术。供心缺血期间采用 4℃改良St .Thomas液顺行灌注快速心脏停搏 ，供心取出后冷生理盐水冲洗心腔 ，继之用4℃UW液 (universityofwisconsinsolution) 10 0 0ml经升主动脉根部单次灌注 ，然后 4℃生理盐水浸泡保存 ，供心运输、移植过程不再行心肌保护液灌注。供心热缺血时间 1～ 3min ，冷缺血时间 110～ 180min(平均 14 2  5± 2 9 0min)。结果　心脏移植完毕开放升主动脉后 4例心脏全部自动复跳 ，辅助循环 34～ 5 4min(平均 4 2  8± 9 8min)。术后心功能恢复良好 ，未出现低心输出量综合征 ，术后 1个月左心室射血分数 (LVEF)恢复到6 0 %～ 6 5 %。 3例存活至今 ，1例术后 5个月因自行停用抗免疫药死于急性排异反应。结论　冷晶体停跳液灌注心脏快速停跳 ，继之 4℃UW液单次灌注结合 4℃生理盐水浸泡保存供心 ，方法简便 ，效果良好 ，供心冷缺血时间可达 3h。
668,小鼠颈部心脏移植模型的建立,曹健斌; 龚勇泉; 韦成信; 李富骊; 罗鹏,柳州市人民医院心胸血管外科,广西自然科学基金回国基金项目(2015GXNSFCA139013),中国胸心血管外科临床杂志; Chinese Journal of Clinical Thoracic and Cardiovascular Surgery,2017年11期,心脏移植; 动物模型; 小鼠,目的探讨如何建立稳定的小鼠颈部心脏移植模型。方法将40只雄性C57小鼠，周龄约6~8周，体质量19~24 g，随机分成供体和受体，每组20只。供体心脏升主动脉与受体右侧颈总动脉端侧吻合，供体心脏肺动脉与受体右侧颈外静脉对端吻合，建立颈部心脏移植模型。结果手术成功率在95%以上，冷缺血时间(15±5)min，热缺血时间(23±6)min，手术时间(55±15)min，术后移植心脏存活达到30 d以上，术后1个月移植心脏病理检查和正常心脏无明显差异。结论小鼠颈部心脏移植模型稳定可靠，通过直视和触诊可以方便监测供体心脏的存活，有利于开展移植方面的基础研究。
657,胆道闭锁肝移植术后早期肝动脉血栓的诊断及处理,韩环立; 张明满; 郭春宝; 康权; 李英存; 蒲从伦,重庆医科大学附属儿童医院肝胆外科,国家临床重点专科建设项目资助(编号[2013]544),临床小儿外科杂志; Journal of Clinical Pediatric Surgery,2017年02期,胆道闭锁; 肝移植; 肝动脉血栓; 手术后并发症; 儿童,目的探讨胆道闭锁肝移植术后早期肝动脉血栓(hepatic arterythrombosis，HAT)的诊断、治疗以及对预后的影响。方法回顾性分析本院2006年6月至2014年4月间完成的41例胆道闭锁肝移植手术临床资料，术后早期常规监测血生化指标、彩色多普勒超声监测肝动脉血流，对疑有肝动脉血栓形成患者，行肝动脉造影或开腹肝动脉探查。结果术后9例发生早期肝动脉血栓，发生率21.95%，经肝动脉介入溶栓、肝动脉切开取栓或再次肝移植，2例死于肝动脉血栓，7例肝动脉再通，但围手术期2例死于肺部肺炎克雷白杆菌感染，1例死于肠漏后感染性休克，1例死于毛细血管渗漏综合征，1例再次肝移植者因原发肝无功能而死亡。结论胆道闭锁肝移植术后早期肝动脉血栓发生率较高，也是导致死亡的重要原因之一，对于可疑HAT者，尽早行肝动脉造影确诊及溶栓治疗、开腹探查肝动脉切开取栓治疗可有效诊断和治疗HAT。
175,热休克蛋白70对大鼠心脏停搏供体肝移植的保护作用,赵雪松; 董春钰; 杨志明; 赵继学; 张学颖,吉林大学第一医院儿外科; 吉林大学第一医院儿外科 吉林长春130021; 吉林长春130021; 吉林长春130021,吉林省计委科技攻关项目资助课题 (1997- 6 5 ),吉林大学学报(医学版); Journal of Jilin University of (Medicine Edition),2005年03期,热休克蛋白70; 心脏停搏，人工; 肝移植,目的:采用心脏停搏供体大鼠原位肝移植模型，观察热休克蛋白70 (HSP70 )对心脏停搏后不同时间的供肝缺血再灌注损伤的影响。方法:以缺血预处理方法诱导大鼠肝脏组织产生HSP70 ，以预处理(IP)与否及供体心脏停搏4 5 m in或6 0 min的不同，将供体大鼠分为4组(IP- 4 5 ，IP- 6 0 ，C- 4 5和C- 6 0 )。于肝移植术后1h采血检测肝功能，术后1h及7d切取肝脏，观察肝脏病理学改变，并观察各组大鼠术后存活时间。结果:缺血预处理后2 4～4 8h，肝组织HSP70表达明显增强;肝移植术后1h，血清AL T和AST水平IP组明显低于对照(C)组(P<0 .0 5 ) ;术后7d，IP组移植肝光学显微镜下肝小叶结构完好，汇管区有少量淋巴细胞浸润，C组移植肝则出现了较多的肝细胞坏死和气球样变。C- 4 5和C- 6 0组1周存活率分别为12 .5 %和0 ;而IP- 4 5和IP- 6 0组1周存活率分别为6 2 .5 %和37.5 %。结论:HSP70明显改善术后肝脏功能和减轻肝脏病理学改变，显著提高心脏停搏供体肝移植的存活率，HSP70对心脏停搏供体肝移植缺血再灌注损伤具有明显保护作用。
500,胸腹部多器官联合切取技术方法探讨,刘小友; 徐健; 杜传福; 邓文峰; 王亦斌; 付绍杰; 余玉明; 魏强; 苗芸; 李川江; 叶俊生; 于立新,南方医科大学珠江医院器官移植科; 南方医科大学南方医院器官移植科,广东高校优秀青年创新人才培养计划项目(LYM09041);广东省自然科学博士启动基金(06301161),中国临床解剖学杂志; Chinese Journal of Clinical Anatomy,2011年04期,胸部器官; 腹部器官; 多器官联合切取; 器官移植,"目的探讨胸腹部多器官联合切取的技术方法及其对获取的器官质量的影响。方法采取胸部U型切口联合腹部大""十""切口，分别建立胸部器官和腹部器官原位灌注，在灌注的同时进行多器官游离和切取。结果 2003年至今采用此方法行胸、腹腔多器官联合切取术8次，获得供心、肝、胰各8个，供肺8对及供肾16个。热缺血时间为(2±1.2)min，器官切取时间约(20±3)min。未出现任何影响器官质量和功能的手术意外损伤。临床行心脏移植6例、心肺联合移植2例、双肺移植3例、单肺移植5例、肝移植6例、肝肾联合移植2例、胰肾联合移植3例、肾移植11例，所有移植器官均在术后立即发挥功能。结论采用胸腹部多器官联合切取的技术方法能够快速优质的获取胸部和腹部供器官，缩短热缺血时间，减少手术损伤，提高供器官的质量和数量。"
209,猪供心不同时间热缺血移植后细胞凋亡的变化,孙忠东; 池一凡; 杨铁南; 侯文明; 牛兆倬,青岛大学医学院附属青岛市立医院心脏外科; 青岛大学医学院附属青岛市立医院心脏外科 山东青岛266011; 山东青岛266011; 山东青岛266011,青岛市科委资助项目(2001KNS-2E-51),中国体外循环杂志; Chinese Journal of Extracorporeal Circulation,2005年02期,心脏移植; 热缺血; 细胞凋亡,目的研究供心常温不同时间热缺血后细胞凋亡的变化。方法利用猪原位心脏移植实施方法，18只猪随机分为3组，对照组(C，n=6)灌注低温保护液后切取供心，4℃保存4h;热缺血1组(E1，n=6)常温阻断主动脉缺血5min后灌注低温保护液后切取供心;热缺血2组(E2，n=6)常温阻断主动脉缺血10min后，灌注低温保护液后切取供心。三组低温保存供心4h后分别行原位心脏移植。供心移植2h后取左心室心肌检测心肌细胞凋亡的变化。结果供心移植2h后，E1、E2组心肌细胞凋亡明显高于C组(P<0.01)，E2组心肌细胞凋亡明显高于El组(P<0.01)。结论供心热缺血时间的延长增加移植后的心肌细胞凋亡的发生。
198,肾移植301例次报告,赖永通; 张峻; 曹文锋; 黄伟佳; 高兴成,广州市第二人民医院肾移植科; 广州市第二人民医院肾移植科 广东广州510150; 广东广州510150; 广东广州510150,NA,现代泌尿外科杂志; Journal of Modern Urology,2005年02期,肾移植; 综合分析,目的　总结肾移植的临床经验。方法　回顾性分析301例次肾移植患者的临床资料，从人和(或)肾存活率，肾移植术前准备、供肾及移植情况、术后并发症及处理、免疫抑制剂的应用、HLA配型及群体反应性抗体(PRA)检测等方面对移植肾效果影响进行分析总结。结果　1、3、5 年人/肾存活率分别为 96%/91% (243/254)/(230/254)， 81%/76% (114/143)/(107/143)和68%/56%(38/57)/(32/57)。67例发生1~2次急性排斥反应，其中PRA致敏受者急性排斥反应发生率高达 48.57%。术后并发移植肾功能延迟恢复(DGF)48例;各种感染40例;急性左心衰竭12例。结论　充分的术前准备是安全度过围手术期的关键;良好的供肾和组织配型、术后免疫抑制剂的合理应用、并发症的预防和及时治疗，是提高肾移植术后人、肾存活率的重要保证。
512,甘氨酸对大鼠供肝热缺血再灌注损伤的保护作用,顾捷; 白慧茹; 崔春霞; 孙文娟,内蒙古医学院基础医学院法医教研室,NA,内蒙古医学院学报; Journal of Inner Mongolia Medical College; 2012年S4期,NA,肝脏移植; 缺血; 再灌注损伤; 甘氨酸; 预处理,<正>肝移植早期并发移植肝术后无功能(Primarynonfunction，PNF)的发生率为2%～23%，其发生原因与移植肝组织缺血缺氧-再灌注损伤有极为密切的关系。再灌注损伤对移植肝功能的损害，具有现实意义。甘氨酸是人体内的一种非必需氨基酸，它在保护心、肝、肺的缺血再灌注损伤(ischemical reperfusion injury，IRI)中起重要作
72,大鼠异位心脏移植术围术期并发症的原因和处理,黄瑞健; 孙培吾; 强华; 陈良万; 林乌拉; 苏东辉; 林峰,福建医科大学附属第一医院心胸外科; 中山大学附属第一医院心胸外科; 福建医科大学病原生物学系; 福建医科大学附属协和医院心外科、福建省心胸外科研究所; 福建医科大学附属协和医院心外科、福建省心胸外科研究所 福州350005; 广州510080; 福州350004; 福州350001; 福州350005; 福州350001,福建省自然科学基金资助项目 ( C0 0 10 0 10 ),福建医科大学学报; Journal of Fujian Medical University,2003年01期,心脏移植; 手术中并发症; 大鼠,目的　对大鼠异位心脏移植术的围术期并发症的产生原因和处理方法进行初步总结。　方法　运用显微缝合技术对 96只大鼠进行心脏移植术 ，其中颈部移植法 5 6只 ，腹部移植法 4 0只。　结果　手术成功率 4 2 % ，围术期并发症发生率 5 8% ，主要为麻醉意外、术中大出血、供心保护不佳致复跳困难、静脉回流不良、脊神经损伤等。　结论　对术中大出血和供心保护不佳的有效预防与处理将有助于提高心脏移植术的成功率
