Item type,Authors,Title,Journal,Publication year,Issue,Date published,ISSN,Abstract,Keywords,Column1,_1,_2,_3,_4,_5
Journal Article,"施晓敏,傅志仁,丁国善,倪之嘉,王正昕,郭闻渊,傅宏",供肝获取术中供肝质量和灌注情况的快速判断,肝胆外科杂志,2005,3,2005,1006-4761,"目的探讨在供肝获取术中快速判断供肝质量和灌注情况的方法。方法对83例供肝获取术中供肝质量和灌注情况的快速判断进行总结。结果83例供体中,有16例在获取术中发现供肝质量有异常(其中7例放弃获取,9例用于移植),有1例在获取术中判断供肝质量为正常,移植术前肝组织活检病理发现血吸虫虫卵。在76例获取的供肝中,有3例术中发现灌注不足。所有用于受体的供肝均在门静脉开放后3-15分钟内可见金黄色胆汁分泌。结论在现阶段我国多为无心跳供体和快速多器官联合获取法广泛使用的情况下,供肝获取术中供肝质量和灌注情况的快速判断尤为重要。",肝移植;;器官获取;;供肝质量;;灌注;;快速判断,,,,,,
Journal Article,"李耀锋,周丁华,万葆东,赵伟,夏启俊,卫冰",手术方式对肝移植围术期肝功能影响,中国全科医学,2007,23,2007,1007-9572,"目的探讨手术方式对肝移植围术期肝功能的影响。方法根据良恶性病变及手术方式的不同,从我院2004～2007年103例肝移植患者中随机抽取恶性肿瘤组行经典式手术者16例和良性病变组行背驮式手术者18例,比较两组患者围术期的丙氨酸氨基转移酶,总胆红素动态变化规律,以及手术方式对肝功能的影响。结果两组患者术中出血量和输血量间差别有显著性意义(P<0.05),两组手术前后ALT和TBiL变化间差别有显著性意义(P<0.05)。手术方式对术后肝功能有明显影响,背驮式手术较经典式手术对肝功能的影响大,但是在术后恢复上要比经典式手术快。结论手术操作对肝功能是有影响的,应该注意手术方式的选择。",手术期间;;肝移植;;肝功能试验,,,,,,
Journal Article,"邓斐文,陈焕伟,甄作均,李杰原,王峰杰,胡健垣",儿童器官捐献供体肝肾联合获取经验总结,器官移植,2017,5,2017,1674-7445,"目的探讨儿童器官捐献供体肝肾联合获取的临床经验。方法收集2011年10月至2016年12月佛山市第一人民医院6例儿童器官捐献供体肝肾联合获取的临床资料,总结其临床经验。结果根据国家卫生和计划生育委员会脑损伤质控评价中心制定的儿童脑死亡判定标准,6例儿童供体均在脑死亡状态下进行器官捐献肝肾联合获取,采用7号吸痰管髂外动脉插管或24 F导尿管髂总动脉插管、门静脉和腹主动脉灌注、胸主动脉阻断的肝肾联合灌注的改良方法。手术时间55~60 min,共成功获取6个供肝、12个供肾,所获取肝肾均成功应用于临床肝、肾移植,受者均未发生移植肝或移植肾原发性无功能。结论在儿童器官捐献供体中成功进行肝肾联合获取的关键在于及时进行脑死亡判定、严格谨慎的器官维护措施和肝肾联合获取技术的改良。",公民逝世后器官捐献;;脑死亡器官捐献;;心脏死亡器官捐献;;脑-心双死亡器官捐献;;快速肝肾联合灌注法;;器官获取;;儿童;;供者;;重症监护,,,,,,
Journal Article,"李幼生,李宁,李元新,罗开,李为苏,倪小冬,朱亮,蒋峰,黎介寿",肝肠联合移植供肠、供肝的获取与保存,医学研究生学报,2004,8,2004,1008-8199,"目的 :探讨自无心搏尸体联合获取和保存肝小肠的方法以及在临床肝、肠联合移植中的应用。 方法 :采用体内原位灌注、联合获取的方法 ,将肝、小肠、胰、脾和肾一并获取 ,移植物经 4℃UW液保存 ,将获取的小肠和肝联合移植至一短肠综合征合并有淤胆的患者体内。 结果 :供者热缺血时间 2min 30s,移植肠冷缺血 6h 4 0min ,移植肝冷缺血 8h 7min。 结论 :自无心搏尸体联合获取的供肠、供肝适合于临床肝肠联合移植。",肝、肠联合移植;;器官获取;;器官保存,,,,,,
Journal Article,"吴泓,杨家印,魏永刚,黄纪伟,李伟,李波,曾勇,严律南",腹腔镜活体肝移植供肝切取技术要点及评价(附12例报告),中国实用外科杂志,2017,5,2017,1005-2208,"目的探讨腹腔镜活体肝移植供肝切取手术的技术要点和应用前景。方法回顾性分析2015年9月至2016年10月四川大学华西医院肝脏肝移植外科12例腹腔镜下活体肝移植供肝切取术病人资料。分析12例供者及相应12例受者的手术及预后情况。结果 12例供者中,切取不包括肝中静脉的右半肝6例,左外叶3例,不包括肝中静脉的左半肝3例。术中失血量400(100~600 mL)。供者住院时间7(4~10 d)。所有供者术后均无并发症发生及围手术期死亡。12例受者术前移植物受体体重比(GRWR)为0.94%( 0.54%~3.70%)。手术时间625(405~720 min)。术中失血量750(200~3000)mL。术后住院时间20(7~40)d。1例受者病人术后第7天发生消化道出血,保守治疗后出血停止。1例受者病人术后出现肺部感染,保守治疗后无效于术后第8天因呼吸衰竭死亡。其余受者病人术后顺利出院。结论随着技术的不断发展和器械的不断改进,腹腔镜活体肝移植供肝切取将有广阔的应用前景。",活体肝移植;;腹腔镜;;肝切除术;;预后,,,,,,
Journal Article,"邓斐文,陈焕伟,甄作均,王峰杰,李杰原,胡健垣,计勇",腹主动脉联合门静脉快速灌注法在器官捐献供体肝肾联合获取中的应用,器官移植,2015,1,2015,1674-7445,"目的总结腹主动脉联合门静脉快速灌注法在器官捐献供体肝肾联合获取中的可行性和安全性。方法回顾性分析2011年9月至2014年6月在佛山市第一人民医院完成的43例中国心脏死亡供体器官捐献肝肾联合获取的临床资料。43例供体中,中国心脏死亡供体分类一类(脑死亡供体)(C-Ⅰ类)15例,中国二类(心脏死亡供体)(C-Ⅱ类)1例,中国三类(脑-心双死亡捐献供体)(C-Ⅲ类)27例。器官灌注采用腹主动脉、门静脉快速插管联合灌注法。结果开腹至腹主动脉插管时间约1.5~2.0 min,43例供体共获得肝脏43个,肾脏86个。C-Ⅰ类供体热缺血时间全部为0,其余供体热缺血时间范围为3~21 min,平均10 min。2例供肝分别因肝门部严重损伤和重度脂肪肝弃用,18例供肾分别因肾结石、肾萎缩、术前血清肌酐水平较高、肾动脉粥样硬化严重、肾微小血管血栓、多发肾囊肿、外伤性肾破裂等原因弃用,供体器官总弃用率为16%。结论腹主动脉联合门静脉快速灌注法是器官捐献供体肝肾联合获取的简单、安全的方法。",器官捐献;;腹主动脉插管灌注;;门静脉灌注;;肝肾联合获取,,,,,,
Journal Article,"木沙由夫·吾买尔,齐海,哈里木,王磊,李元明",犬自体单肺移植的实验研究,新疆医学,2008,2,2008,1001-5183,"目的:通过同种自体犬单肺移植,掌握供肺的灌注,切取,保存,和修剪方法以及单肺移植的手术方法。方法:11例犬进行了一次犬自体单肺移植动物实验,其中8例自体左单肺移植,3例自体右单肺移植,吻合顺序先支气管后肺动脉,最后心房袖,移植后于不同时点暂阻断对侧肺动脉并检测植入肺的功能参数。结果:所有移植肺通气和换气功能均正常,移植后犬恢复自主呼吸,9例在24小时内死亡,2例在术中死亡。结论:冷缺血再灌注损伤是早期死亡的主要原因。",肺移植;;犬;;实验研究,,,,,,
Journal Article,"甘险峰,罗澜云,杨训,周晓辉,张刚,王俭",同种异体原位肝移植临床处理策略分析,实用医院临床杂志,2007,4,2007,1672-6170,"目的总结肝移植术临床经验。方法对7例肝移植患者采取快速切取和修整供肝、加强术中及术后处理策略。结果7例手术均成功,术后并发急性排斥1例、肺部感染3例、胆道感染2例、肝脓肿1例。结论完善的手术技术、正确的术后处理是提高肝移植围手术期生存率的关键。",同种异体;;肝移植;;处理策略,,,,,,
Journal Article,"高宏君,徐达传,李民,范礼佩,赵明,顾新伟,陈桦",人胰岛细胞移植中胰岛细胞活性研究,中国临床康复,2005,19,2005,1671-5926,"目的:器官联合切取中的不同胰腺获取方法是否对于胰岛细胞的活性有影响。方法:实验于2001-08/2004-08在南方医科大学珠江医院器官移植中心和南方医科大学解剖教研室完成,12例自愿捐赠器官供者,采用高渗枸橼酸盐嘌呤溶液经过腹主动脉进行原位灌注后,进行胰腺、肾脏联合切取,肝脏、胰腺、肾脏联合切取及各器官的单独切取。取后采用胶原酶P消化胰腺,分离并纯化胰岛细胞,进行胰岛细胞活性染色,然后对比不同切除方法对于胰岛细胞活性率的影响。结果:胰腺、肾脏联合切取,肝脏、胰腺、肾脏联合切取及各器官的单独切取,如顺利、无污染、在冷却血时间5h以内,胰岛细胞活性率都在80%,经原位灌注后各方法之间无明显差别。结论:经腹主动脉进行原位灌注后,各种方法切取都符合无污染,冷却时间5h以内,不会影响胰岛细胞的活性。",胰岛;;胰腺;;胰岛细胞移植,,,,,,
Journal Article,"吴蔚,杨康,姜恒,李军",小鼠异位心脏移植模型的建立,局解手术学杂志,2003,3,2003,1672-5042,"目的 为方便现代移植免疫学研究 ,我们建立了小鼠异位心脏移植模型 ,为今后的器官移植研究打下基础。方法 以C5 7小鼠为受体 ,Balb/c小鼠为供体 ,参照Ono法并加以改良 ,将供体升主动脉、肺动脉与受体腹主动脉和下腔静脉行端侧连续吻合。结果 正式试验 2 5次 ,4例在 72h以内死亡 ,其余 2 1例均长期存活 ,手术成功率为 84 %。结论 在熟练掌握显微外科技术的基础上 ,处理好心脏移植的 5个关键步骤 ,小鼠异位心脏移植模型即可顺利建立。",小鼠;;心脏;;异位移植,,,,,,
Journal Article,"王维新,解士胜,万士杰,仲京,于鲁峰,侯迈",15例犬原位心脏移植实验手术技术总结,空军总医院学报,2002,1,2002,1009-2811,"目的 通过心脏移植的实验研究 ,为心脏移植手术及平稳过度到临床应用积累经验。 方法 在全麻、中度低温体外循环下实施 15例犬的原位心脏移植手术。 结果 8例移植心脏自动复跳 ,7例移植心脏通过电除颤复跳 ,血流动力学参数较稳定。有 4例移植心脏出现心肌肿胀 ,10例移植心脏吻合口出血较多。 结论 操作轻柔、供体与受体心脏的主动脉大小相匹配以及缝线均匀有助于减少术后吻合口出血 ,改善心肌保护能减轻心肌肿胀 ,以上因素是保证心脏移植成功的关键。","心脏移植;;移植,同种;;疾病模型,动物",,,,,,
Journal Article,潘承恩，于良，吕毅，刘青光，姚德茂，刘昌,脑死亡胎儿的肝脏原位灌注与切取,西安医科大学学报(中文版),1996,1,1996,,２０例胎龄在７个月以上的脑死亡胎儿肝脏用作辅助性移植的供肝，采用原位灌注腹部多器官联合切取的方法，在胎儿有心跳的情况下，气管插管，人工控制呼吸，行肝脏原位灌注和腹部多器官联合切取。本法可以尽可能地减少肝脏的热缺血时间，操作较容易，费时短，保证供肝质量。腹主动脉灌注为最佳途径；脐静脉可作为全身肝素化及补液的途径，亦可辅助灌注。,胎儿；肝脏；灌注；切取,,,,,,
