id	year	text	en
3229	1980	供心为一脑外伤患者,取心时呼吸巳停,施行气管内插管,人工呼吸,心脏跳动良好。供心取出至复跳共冷灌注保存3小时30分,心脏移植时间69分,循环开放后供心除	The heart donor was a brain trauma patient. By the time of heart procurement, breathing had ceased. Endotracheal intubation was performed and artificial respiration [established]. The heart beat well. The donor heart was procured …
3528	1994	供心摘取:全麻气管插管下,维持循环呼吸.前胸正中纵切口入路,建立经升主动脉灌注冷心肌保护液系统,放置上、下腔静脉结扎线。全身	Donor heart extraction: under general anesthesia tracheal intubation, maintain circulatory ventilation.
0573	1995	术前1h给供体静脉注射肝素3mg/kg。自第4肋间横断胸骨进胸,剪开心包,见心脏跳动微弱,心肌紫给,经气管插管辅助呼吸后,心肌转红,心脏搏动转为有力。自升主动脉根部插针灌注4℃的冷停跳液1000ml。。。5.1关于供心保护供心的保护直接关系到移植心脏的成败。对于脑死亡的供者,自主呼吸丧失,心肌缺氧,在这紧急情况下,必须在紧急开胸的同时,进行紧急气管插管及辅助呼吸,以维持心脏的血液循环和氧供,缩短心脏的热缺血时间。本文供体开胸时,胸壁切口已苍白无血迹,心脏己紫给,跳动微弱,但于气管插管供氧后心脏搏动迅即转为有力。取供心时自第4肋间切断胸骨进胸,速度快,显露良好,在野外操作无电源不能进行胸骨锯开的情况下采用此切口不失为一良好选择。本文从开胸到供心取出,耗时仅3min。	The donor was intravenously injected with heparin 3mg/kg 1h before the operation. The sternum was transected from the 4th intercostal space into the chest, and the pericardium cut open. The heartbeat was weak and the myocardium was purple. After assisted ventilation through tracheal intubation, the myocardium turned red and the heartbeat turned strong. A needle at the root of the ascending aorta was used to perfuse with 1000ml of cold cardioplegic solution at 4c°… 5.1 About donor heart protection. The protection of the donor heart is directly related to the success or failure of the transplanted heart. For brain-dead donors with loss of autonomic respiration and myocardial hypoxia, emergency tracheal intubation and assisted respiration must be performed in this emergency situation while opening the chest to maintain the circulation and oxygen supply to the heart and shorten the thermal ischemia time of the heart. When the chest of the donor in this paper was opened, the chest wall incision was pale and bloodless, and the heart was purple and beating weakly. But the heartbeat became strong immediately after tracheal intubation and oxygenation. The donor heart was extracted with an incision from the 4th intercostal sternum into the chest, which is fast and well exposed. This incision is a good choice for field operation where the sternum cannot be sawed open without power. In this paper, it took only 3 min from the opening of the chest to the removal of the donor heart.
3666	1997	供体脑死亡后,尽快气管插管人工呼吸并迅速开胸,速作升主动脉、肺动脉灌注冷停搏液,压力分别为11kPa(83mmHg)、6.67kPa(50mmH	After donor brain death, tracheal intubation was performed as soon as possible for artificial ventilation. The chest was opened quickly, and the ascending aorta and pulmonary artery were infused with cold cardioplegia …
2181	1998	于1994年9月27日获20岁男性供体心肺(脑死亡)。其心肺保护过程为:确认脑死亡,气管插管,人工呼吸,吸氧。常规消毒依次解剖,暴露心脏,心跳良好。放置升主动脉冠状灌注管,阻断升主动脉	 Received a 20-year-old male donor heart and lung (brain death) on September 27, 1994. The cardiopulmonary protection process: confirmation of brain death, tracheal intubation, artificial respiration, and oxygen inhalation. Routine disinfection followed by dissection to expose the heart; heartbeat was good. Place the ascending aorta coronary perfusion tube to clamp the ascending aorta.
2062	1998	2讨论 2.1关于供肺保护 供肺的保护直接关系到肺移植的成败。本例供体开胸时心脏呈紫给,但仍有跳动,行气管插管辅助呼吸后心脏变红,跳动迅速转为有力,因而缩短了肺的热缺血时间。第4肋间横断胸骨进胸,速度快,显露好。供肺采取低温肺动脉灌洗加低	" 2. Discussion. 2.1 About donor lung protection... In this case, the heart of the donor was purple when the chest was opened, but still beating. After tracheal intubation and assisted breathing, the heart turned red and the beating quickly became forceful, thus shortening the warm ischemic time of the lungs..."
2458	1999	1.3手术配合过程 1.3.1供者准备 取平仰卧位,胸腹背部垫一硬枕。巡回护士选用带加药壶16号静脉留置针迅速建立静脉通道。同时协助麻醉师气管内插管维持呼吸和循环。1.3.2灌注连接管准备巡回护士在无菌技术操作下将肺动脉灌注液连接管接上冷Collins灌注液瓶(第一瓶soomL	 1.3 Surgical cooperation process. 1.3.1 Donor preparation [Donor] takes the supine position, with a hard pillow on the chest, abdomen and back. Roving nurse selects a No. 16 intravenous needle to quickly establish an intravenous channel. At the same time, [she] assists the anaesthetist with endotracheal intubation to maintain breathing and circulation. …
0004	2000	1.4供体手术气管插管通气胸骨正中开胸纵行切开心包并悬于切口两侧探查心脏外观正常后于	1.4. Donor surgery. Tracheal intubation for ventilation, sternal opening, longitudinal incision of the pericardium and mobilization of both sides of the incision to explore the normal appearance of the heart.
0748	2000	供体心肺功能正常,但胸廓小于受体10%。于脑死亡 后立即气管插管接简易呼吸囊行控制呼吸，FiO尸0 2。迅 速开胸,肝素化,分离心肺组织,阻断升主动脉后,从主动脉 根部灌注冷晶体停搏液10	 The donor's cardiopulmonary function is normal, but the thorax is 10% smaller than that of the recipient. Immediately after brain death the trachea was intubated and a simple breathing balloon was used to control breathing… Open the chest quickly, heparinize, separate the heart and lung tissues, block the ascending aorta, and infuse cold crystalloid cardioplegia …
2067	2000	供体麻醉 供体确定脑死亡后，行气管插管、维持呼吸、 循环、监测心电、血压、留置导尿。	 Donor anesthesia. After the donor is determined to be brain dead, carry out intubation, maintain breathing and circulation, monitor ECG, blood pressure, indwelling urinary catheter…
