bibtexkey,author,title,journal,issue,eng_titles,eng_authors
0004,"邹小明, 王武军, 张振",同种异体心脏移植长期存活(附1例报告),第一军医大学学报; Journal of First Military Medical University,2000年05期,Long-term survival of allogeneic heart transplantation (report of 1 case),"Zou Xiaoming, Wang Wujun, Zhang Zhen"
0748,"齐娟, 陈秋荣, 雷立华, 江国建, 郑振雄",心肺联合移植的麻醉处理一例报道,临床麻醉学杂志; THE JOURNAL OF CLINICAL ANESTHESILOLGY,2000年03期,A case report of anesthesia treatment for combined heart-lung transplantation,"Qi Juan, Chen Qiurong, Lei Lihua, Jiang Guojian, Zheng Zhenxiong"
2067,"蒋怡燕, 乔彬, 吴莉莉, 徐顶初, 梅胜兰",一例心肺联合移植的麻醉处理,临床麻醉学杂志; The Journal of Clinical Anesthesilolgy,2000年12期,Anesthesia for a case of combined heart-lung transplantation,"Jiang Yiyan, Qiao Bin, Wu Lili, Xu Dingchu, Mei Shenglan"
4155,"张军花, 罗文君, 狄桂萍",心脏移植供心切取的配合及保护,第三军医大学学报; Acta Academiae Medicine Militaris Tertiae,2001年11期,Coordination and Protection of Donor Heart Removal in Heart Transplantation,"Zhang Junhua, Luo Wenjun, Di Guiping"
0741,"李兰荪, 蔡振杰, 王晓武, 刘维永",同种心脏移植围术期心血管功能变化监测及支持,第四军医大学学报; Journal of The Fourth Military Medical University,2002年20期,Cardiovascular function monitoring and support during the perioperative period of homologous heart transplantation,"Li Lansun, Cai Zhenjie, Wang Xiaowu, Liu Weiyong"
0039,"于佳生, 娄德剑, 林雪维, 林长城, 张延恩, 苏润毅",原位心脏移植术供心的采取与保护,临床医学; Clinical Medicine,2002年04期,Procurement and protection of donor heart in orthotopic heart transplantation,"Yu Jiasheng, Lou Dejian, Lin Xuewei, Lin Changcheng, Zhang Yanen, Su Runyi"
0779,"赵文静, 秦晔晖, 刘金东, 孙全胜, 王国祥, 夏求明",同种异体原位心脏移植术后近期处理,徐州医学院学报; Acta Academiae Medicinae Xuzhou,2002年05期,Recent treatment after orthotopic heart transplantation,"Zhao Wenjing, Qin Yehui, Liu Jindong, Sun Quansheng, Wang Guoxiang, Xia Qiuming"
0268,"焦岩, 朱平增, 屈江西, 王度轩, 贾真, 陈敏",原位同种心脏移植1例麻醉体会,武警医学; Medical Journal of the Chinese People’s Armed Police Forces,2003年03期,Anesthesia experience of a case of orthotopic heart transplantation,"Jiao Yan, Zhu Pingzeng, Qu Jiangxi, Wang Duxuan, Jia Zhen, Chen Min"
0099,"曹向戎, 张健群, 李继勇, 伯平, 宋飞强, 周其文",心肺联合移植供心及肺的采取和保护,心肺血管病杂志; Journal of Cardiovascular and Pulmonary Diseases,2003年03期,Procurement and protection of donor heart and lungs in combined heart-lung transplantation,"Cao Xiangrong, Zhang Jianqun, Li Jiyong, Bo Ping, Song Feiqiang, Zhou Qiwen"
0903,"刘金东, 丁伟, 曹君利, 齐敦益, 马正良, 张中明, 孙全胜, 曾因明",同种异体原位心脏移植手术的麻醉管理,徐州医学院学报; Acta Academiae Medicinae Xuzhou,2003年05期,Anesthesia Management of Orthotopic Heart Transplantation,"Liu Jindong, Ding Wei, Cao Junli, Qi Dunyi, Ma Zhengliang, Zhang Zhongming, Sun Quansheng, Zeng Yinming"
0111,"叶晓青, 黄小蝶, 李文媚, 王辉, 张莉",原位心移植术体外循环管理,北京大学学报(医学版); Journal of Peking University(Health Sciences),2004年04期,Cardiopulmonary bypass management for orthotopic heart transplantation,"Ye Xiaoqing, Huang Xiaodie, Li Wenmei, Wang Hui, Zhang Li"
0036,"刘建华, 邹定全, 李李, 常业恬",心肺联合移植的麻醉处理1例,中南大学学报(医学版) [Journal of Central South University (Medical Edition)],2004年06期,One case of anesthesia treatment for combined heart-lung transplantation,"Liu Jianhua, Zou Dingquan, Li Li, Chang Yetian"
0126,"张明宇, 臧旺福, 田海, 夏求明, 刘开宇",急性脑死亡对移植供体心脏形态学损害的研究,哈尔滨医科大学学报; Journal of Harbin Medical University,2004年05期,Study on the damage of acute brain death to the morphology of the transplanted donor's heart,"Zhang Mingyu, Zang Wangfu, Tian Hai, Xia Qiuming, Liu Kaiyu"
2256,"陶天娜, 石曼丽, 李进",1例心肺联合移植术的护理配合,齐齐哈尔医学院学报; Journal of Qiqihar Medical,2004年09期,Nursing cooperation in a case of combined heart-lung transplantation,"Tao Tianna, Shi Manli, Li Jin"
0141,"孙秀芳, 赵烨",同种异体原位心脏移植术的护理配合,齐齐哈尔医学院学报; Journal of Qiqihar Medical,2004年10期,Nursing Cooperation in Orthotopic Heart Transplantation,"Sun Xiufang, Zhao Ye"
0144,"杨新卫, 李志英, 郭林静, 梁智星, 任梅惠",心脏移植时供心的保护(附1例报告),山西医科大学学报; Journal of Shanxi Medical University,2004年06期,Protection of Donor Heart in Heart Transplantation (Report of 1 Case),"Yang Xinwei, Li Zhiying, Guo Linjing, Liang Zhixing, Ren Meihui"
0150,"王伟, 张中明, 孙全胜, 钱伟民, 周晓彤, 王国祥, 桂鑫, 胡波",同种异体原位心脏移植供心的切除与保护,徐州医学院学报; Acta Academiae Medicinae Xuzhou,2004年03期,Procurement and protection of the donor heart for orthotopic heart allograft transplantation,"Wang Wei, Zhang Zhongming, Sun Quansheng, Qian Weimin, Zhou Xiaotong, Wang Guoxiang, Gui Xin, Hu Bo"
1038,"陈锁成, 刘建, 王康荣, 孙斌, 丁国文, 任正兵, 戎国祥, 董长青, 唐伟峰, 尹俊",心肺联合移植术一例及围术期处理,江苏医药; Jiangsu Medical Journal,2004年03期,A case of combined heart-lung transplantation and its perioperative management,"Chen Suocheng, Liu Jian, Wang Kangrong, Sun Bin, Ding Guowen, Ren Zhengbing, Rong Guoxiang, Dong Changqing, Tang Weifeng, Yin Jun"
0152,"王伟, 张中明, 孙全胜, 王国祥, 钱伟民, 周晓彤, 桂鑫",同种原位心脏移植二例,江苏医药; Jiangsu Medical Journal,2004年03期,Two cases of orthotopic heart transplantation,"Wang Wei, Zhang Zhongming, Sun Quansheng, Wang Guoxiang, Qian Weimin, Zhou Xiaotong, Gui Xin"
2550,"陈锁成, 刘建, 王康荣, 孙斌, 丁国文, 任正兵, 戎国祥, 董长青, 唐巍峰, 尹俊",心肺联合移植一例报道,中华器官移植杂志; Chinese Journal of Organ Transplantation,2004年06期,A case report of combined heart-lung transplantation,"Chen Suocheng, Liu Jian, Wang Kangrong, Sun Bin, Ding Guowen, Ren Zhengbing, Rong Guoxiang, Dong Changqing, Tang Weifeng, Yin Jun"
0169,"刘中民, 范慧敏, 刘泳, 卢蓉, 郭建华",同种异体心肺联合移植1例,中华胸心血管外科杂志; Chinese Journal of Thoracic and Cardiovascular Surgery,2004年02期,A case of allogeneic combined heart-lung transplantation,"Liu Zhongmin, Fan Huimin, Liu Yong, Lu Rong, Guo Jianhua"
0173,"刘建, 陈锁成, 王康荣, 戎国祥, 董长青",心脏移植供心采取及保护的探讨,江苏大学学报(医学版); Journal of Zhenjiang Medical College,2004年01期,Discussion on the procurement and protection of donor heart in heart transplantation,"Liu Jian, Chen Suocheng, Wang Kangrong, Rong Guoxiang, Dong Changqing"
1420,"刘立明, 胡建国, 周新民, 尹邦良, 李建民, 刘锋, 喻风雷",前列腺素E_1在心肺移植术中的应用,中国医师杂志; Journal of Chinese Physician,2005年03期,Application of prostaglandin E_1 in heart-lung transplantation,"Liu Liming, Hu Jianguo, Zhou Xinmin, Yin Bangliang, Li Jianmin, Liu Feng, Yu Fenglei"
0178,"盛继红, 陈龙, 曾志勇, 王文睿, 陈炜生",HTK液应用于心脏移植供心保护(附5例报告),东南国防医药; Journal of Sourtheast China National Defence Medicial Science,2005年01期,Application of HTK solution to donor heart protection in heart transplantation (report of 5 cases),"Sheng Jihong, Chen Long, Zeng Zhiyong, Wang Wenrui, Chen Weisheng"
0191,"程旺生, 程大新, 陈利民, 沈七襄, 朱水波",1例原位心脏移植的体外循环管理,华南国防医学杂志; Military Medical Journal of South China,2005年03期,Cardiopulmonary bypass management in a case of orthotopic heart transplantation,"Cheng Wangsheng, Cheng Daxin, Chen Limin, Shen Qixiang, Zhu Shuibo"
1132,"盛裕萍, 袁玲玲, 高福民",原位心脏移植4例供心保护,中国交通医学杂志,2005年04期,Donor heart protection in 4 cases of orthotopic heart transplantation,"Sheng Yuping, Yuan Lingling, Gao Fumin"
1936,"钱金娣, 王悦, 唐云, 戴峥",心肺联合移植的麻醉处理1例报道,云南医药; Medicine and Pharmacy of Yunnan,2005年01期,A case report of anesthesia treatment for combined heart-lung transplantation,"Qian Jindi, Wang Yue, Tang Yun, Dai Zheng"
0226,"孙宗全, 史嘉玮, 张凯伦, 肖诗亮, 董念国, 蒋雄刚, 刘成硅",心、肺联合移植一例报告,中华器官移植杂志; Chinese Journal of Organ Transplantation,2005年01期,A case report of combined heart and lung transplantation,"Sun Zongquan, Shi Jiawei, Zhang Kailun, Xiao Shiliang, Dong Nianguo, Jiang Xionggang, Liu Chengsi"
2803,"陈锁成, 刘建, 王康荣, 丁国文, 任正兵, 孙斌, 戎国祥, 董长青, 唐巍峰",心肺联合移植术后长期随访一例,中华医学杂志; National Medical Journal of China,2005年11期,A case of long-term follow-up after combined heart-lung transplantation,"Chen Suocheng, Liu Jian, Wang Kangrong, Ding Guowen, Ren Zhengbing, Sun Bin, Rong Guoxiang, Dong Changqing, Tang Weifeng"
0239,"董念国, 孙宗全, 肖诗亮, 刘成硅, 史嘉玮, 刘金平, 徐志娟",心肺移植术中对心肺保护的体会,中国胸心血管外科临床杂志; Chinese Journal of Clinical Thoracic and Cardiovascular Surgery,2005年03期,Experience in protecting the heart and lungs during heart-lung transplantation,"Dong Nianguo, Sun Zongquan, Xiao Shiliang, Liu Chengsi, Shi Jiawei, Liu Jinping, Xu Zhijuan"
1288,"崔飞, 何建行, 刘君, 陈汉章, 杨运有, 徐鑫",单侧肺移植并同期肺减容术,广州医学院学报; Academic Journal of Guangzhou Medical College,2006年02期,Unilateral lung transplantation and simultaneous lung volume reduction surgery,"Cui Fei, He Jianxing, Liu Jun, Chen Hanzhang, Yang Yunyou, Xu Xin"
3123,王春生,中国大陆心脏移植的现状与进展,继续医学教育; Continuing Medical Education,2006年10期,Current status and progress of heart transplantation in Mainland China,Wang Chunsheng
4164,"王建波, 史文文, 赵文香, 齐美, 张全意, 张庆广, 王红丽, 陈晓琳",同种异体单肺移植并同期心内畸形矫治术麻醉一例,临床麻醉学杂志; The Journal of Clinical Anesthesiology,2006年05期,One case of anesthesia during single lung transplantation and concomitant intracardiac malformation correction,"Wang Jianbo, Shi Wenwen, Zhao Wenxiang, Qi Mei, Zhang Quanyi, Zhang Qingguang, Wang Hongli, Chen Xiaolin"
0261,"吴若彬, 姚桦, 林曙光, 郑少忆, 陈正贤, 陈刚, 黄克力, 熊卫萍",心肺联合移植的临床研究(附1例报告),岭南心血管病杂志; South China Journal of Cardiovascular Diseases,2006年06期,A clinical study of combined heart-lung transplantation (a report of 1 case),"Wu Ruobin, Yao Hua, Lin Shuguang, Zheng Shaoyi, Chen Zhengxian, Chen Gang, Huang Keli, Xiong Weiping"
1075,"邹海英, 刘少慧",心脏移植体外循环2例护理体会,齐鲁护理杂志; Journal of Qilu Nursing,2006年08期,Nursing experience of 2 cases of heart transplantation and cardiopulmonary bypass,"Zou Haiying, Liu Shaohui"
0278,"柳玉容, 张艳晖, 左红, 林枫楠",心脏移植术供心切取术的护理,中国实用护理杂志; Chinese Journal of Practical Nursing,2006年22期,Nursing Care of Donor Heart Resection in Heart Transplantation,"Liu Yurong, Zhang Yanhui, Zuo Hong, Lin Fengnan"
0285,"王可兵, 丁宁, 余兵, 张琳, 陈秀俭",心肺联合移植术1例报告,皖南医学院学报; Acta Academiae Medicinae Wannan,2006年04期,A case report of combined heart-lung transplantation,"Wang Kebing, Ding Ning, Yu Bing, Zhang Lin, Chen Xiujian"
0297,"余兵, 王春生, 张琳, 王可兵, 李蕾, 丁宁, 艾皖平",1例心肺联合移植术的临床观察,安徽医科大学学报; Acta Universitatis Medicinalis Anhui,2006年01期,Clinical observation of a case of combined heart-lung transplantation,"Yu Bing, Wang Chunsheng, Zhang Lin, Wang Kebing, Li Lei, Ding Ning, Ai Wanping"
0298,"王平, 彭浩, 陈新隆, 熊健, 毛新, 程宏忠, 彭俊",单肺移植治疗艾森曼格综合征1例报告,云南医药; Medicine and Pharmacy of Yunnan,2006年01期,A case report of single lung transplantation for Eisenmenger syndrome,"Wang Ping, Peng Hao, Chen Xinlong, Xiong Jian, Mao Xin, Cheng Hongzhong, Peng Jun"
0303,"殷伟强, 钟南山, 何建行, 徐鑫, 葛林虎, 陈汉章, 肖东, 韦兵, 成向阳, 刘君",四例单肺移植受者对侧肺的处理方法与效果,中华结核和呼吸杂志; Chinese Journal of Tuberculosis and Respiratory Diseases,2006年05期,Treatment methods and effects of contralateral lungs in four single-lung transplant recipients,"Yin Weiqiang, Zhong Nanshan, He Jianxing, Xu Xin, Ge Linhu, Chen Hanzhang, Xiao Dong, Wei Bing, Cheng Xiangyang, Liu Jun"
1444,"范慧敏, 刘中民, 郭建华, 刘泳, 卢蓉",心、肺联合移植治疗艾森门格综合征四例,中华器官移植杂志; Chinese Journal of Organ Transplantation,2006年05期,Combined Heart and Lung Transplantation for the Treatment of Four Cases of Eisenmenger Syndrome,"Fan Huimin, Liu Zhongmin, Guo Jianhua, Liu Yong, Lu Rong"
