author_ch,docid
陈良万,410
陈道中,410
戴炳光,410
曲崎,410
郭尚耘,410
邱罕凡,410
吴锡阶,410
王增春,410
李丹,619
罗雅丹,619
董力,619
刘筱凌,623
徐海英,623
盛玲,623
叶书高,1724
陈静瑜,1724
刘峰,1724
张稷,1724
陈忠华,1724
刘峰,2135
陈静瑜,2135
叶书高,2135
张稷,2135
陈忠华,2135
卫栋,2220
陈静瑜,2220
叶书高,2220
刘峰,2220
陆荣国,2220
陈忠华,2220
农江,2686
孙煦勇,2686
董建辉,2686
秦科,2686
赖彦华,2686
聂峰,2686
蔡文娥,2686
文海涛,2686
李壮江,2686
杨建均,2686
何昌桓,2686
石英,2830
何洹,2830
易建华,2830
展淑敏,2830
霍枫,2830
余文静,3047
高兴莲,3047
吴佳颖,3047
谭晓珏,3047
徐海英,3899
刘筱凌,3899
毛文君,3899
陈静瑜,3899
赵文静,4002
朱爽,4002
马奔,4002
赵丽萍,4002
赵文州,4002
金永梅,4100
徐爱民,4100
刘宏,4100
韦韦,4100
汪栋,4100
孙国成,2
蔡振杰,2
刘维永,2
万明明,2
杨光,2
孙国成,3
蔡振杰,3
刘维永,3
汪钢,3
李彤,3
王伟宪,3
许林海,6
孔颂阳,6
倪科伟,6
钱文伟,6
朱理,6
严志焜,6
唐令凤,35
连丽红,35
杨康,35
杨军民,35
王明荣,35
曾会昌,35
张向华,59
廖崇先,59
陈翔,59
孙树汉,59
范里莉,59
祁彦君,59
金文波,59
王晓武,83
蔡振杰,83
刘维永,83
李彤,83
张卫达,83
孙国成,83
王伟宪,83
王伟,101
张中明,101
孙全胜,101
王国祥,101
钱伟民,101
周晓彤,101
桂鑫,101
李彤,146
蔡振杰,146
刘维永,146
张卫达,146
王晓武,146
周更须,146
孙国成,146
俞世强,146
陈敏薛,146
卫斌,146
杨秀玲,146
黄小蝶,172
叶晓青,172
刘季春,255
徐建军,255
万于华,255
饶华庚,255
王勤,255
李志平,255
吴起才,255
刘升,255
刘晓明,255
高涛,255
陈干,255
郭志勇,273
滕和志,273
陈艳,273
于松阳,273
林乐文,273
万连壮,273
邹晓霞,273
余云生,347
沈振亚,347
于曙东,347
朱江,347
叶文学焦,347
鹏,347
黄浩岳,347
朱雅萍,347
卜丽芬,347
胡雁秋,347
尹云清,412
邹弘麟,476
蒋立虹,476
孙小林,476
陈智豫,476
李亚雄,476
韦杰,476
王萍,476
"",579
臧旺福,587
夏求明,587
陈子道,587
姚志发,587
臧旺福,591
夏求明,591
陈子道,591
姚志发,591
向桂玉,591
祁家驹,591
蒋树林,591
杨春文,591
于波,3738
藏旺福,3738
李学奇,3738
关振中,3738
夏求明,3738
邹小明,4
王武军,4
张振,4
于佳生,39
娄德剑,39
林雪维,39
林长城,39
张延恩,39
苏润毅,39
曹向戎,99
张健群,99
李继勇,99
伯平,99
宋飞强,99
周其文,99
叶晓青,111
黄小蝶,111
李文媚,111
王辉,111
张莉,111
张明宇,126
臧旺福,126
田海,126
夏求明,126
刘开宇,126
孙秀芳,141
赵烨,141
杨新卫,144
李志英,144
郭林静,144
梁智星,144
任梅惠,144
王伟,150
张中明,150
孙全胜,150
钱伟民,150
周晓彤,150
王国祥,150
桂鑫,150
胡波,150
王伟,152
张中明,152
孙全胜,152
王国祥,152
钱伟民,152
周晓彤,152
桂鑫,152
刘中民,169
范慧敏,169
刘泳,169
卢蓉,169
郭建华,169
刘建,173
陈锁成,173
王康荣,173
戎国祥,173
董长青,173
盛继红,178
陈龙,178
曾志勇,178
王文睿,178
陈炜生,178
程旺生,191
程大新,191
陈利民,191
沈七襄,191
朱水波,191
孙宗全,226
史嘉玮,226
张凯伦,226
肖诗亮,226
董念国,226
蒋雄刚,226
刘成硅,226
董念国,239
孙宗全,239
肖诗亮,239
刘成硅,239
史嘉玮,239
刘金平,239
徐志娟,239
吴若彬,261
姚桦,261
林曙光,261
郑少忆,261
陈正贤,261
陈刚,261
黄克力,261
熊卫萍,261
柳玉容,278
张艳晖,278
左红,278
林枫楠,278
王可兵,285
丁宁,285
余兵,285
张琳,285
陈秀俭,285
余兵,297
王春生,297
张琳,297
王可兵,297
李蕾,297
丁宁,297
艾皖平,297
王平,298
彭浩,298
陈新隆,298
熊健,298
毛新,298
程宏忠,298
彭俊,298
殷伟强,303
钟南山,303
何建行,303
徐鑫,303
葛林虎,303
陈汉章,303
肖东,303
韦兵,303
成向阳,303
刘君,303
龚凤球,352
成守珍,352
卢惠玲,352
陈锁成,354
刘建,354
丁国文,354
任正兵,354
王康荣,354
孙斌,354
戎国祥,354
董长青,354
唐巍峰,354
施益军,354
徐鑫,370
何建行,370
陈汉章,370
葛林虎,370
肖东,370
殷伟强,370
韦兵,370
刘君,370
成向阳,370
邱源,370
吴俪丽,414
郭尚耘,414
江晶,414
罗桂元,423
余小曼,423
李美清,423
马育璇,423
戎国祥,463
陈锁成,463
丁国文,463
孙斌,463
任正兵,463
陈涛,492
毕生辉,492
程亮,492
王红兵,492
俞世强,492
刘金成,492
金振晓,492
涂霞,499
林枫楠,499
张艳辉,499
姜妮,499
王芳,528
王钊,528
李梅,528
王翔,528
夏阳,528
蒋立虹,528
杨辰垣,573
蔡俊坚,573
孙宗全,573
张凯伦,573
徐志娟,573
肖诗亮,573
蓝鸿钧,573
叶世铎,573
潘禹辰,639
轩永波,639
罗爱国,639
朱中权,639
唐开维,639
左艳,639
杨守国,640
陈昊,640
杨兆华,640
张红强,640
王帆顺,640
庄亚敏,640
王春生,640
李兰荪,741
蔡振杰,741
王晓武,741
刘维永,741
赵文静,779
秦晔晖,779
刘金东,779
孙全胜,779
王国祥,779
夏求明,779
刘金东,903
丁伟,903
曹君利,903
齐敦益,903
马正良,903
张中明,903
孙全胜,903
曾因明,903
陈锁成,1038
刘建,1038
王康荣,1038
孙斌,1038
丁国文,1038
任正兵,1038
戎国祥,1038
董长青,1038
唐伟峰,1038
尹俊,1038
盛裕萍,1132
袁玲玲,1132
高福民,1132
崔飞,1288
何建行,1288
刘君,1288
陈汉章,1288
杨运有,1288
徐鑫,1288
范慧敏,1444
刘中民,1444
郭建华,1444
刘泳,1444
卢蓉,1444
葛林虎,1447
何建行,1447
徐鑫,1447
陈汉章,1447
殷伟强,1447
韦兵,1447
肖东,1447
刘君,1447
张志泰,1551
洪志鹏,1716
尹小川,1716
李定彪,1716
张璟,1716
段晋,1716
太祥,1716
余庆鹤,1716
黄韬,1716
杨林珠,1716
熊国盛,1716
徐鑫,1760
何建行,1760
陈汉章,1760
葛林虎,1760
肖东,1760
殷伟强,1760
韦兵,1760
刘君,1760
成向阳,1760
邱源,1760
杨守国,1803
王春生,1803
陈昊,1803
洪涛,1803
庄亚敏,1803
张颖,1803
朱仕杰,1803
姜桢,1803
殷伟强,2155
徐鑫,2155
陈汉章,2155
葛林虎,2155
肖东,2155
韦兵,2155
刘君,2155
成向阳,2155
邱源,2155
何建行,2155
唐晓阳,2497
王灿琴,2497
钱燕宁,2497
孙杰,2497
丁正年,2497
张艳江,3000
许玮,3000
孙玲,3000
王鞠武,3229
黄宗明,3229
王志增,3229
李杏芳,3229
张本固,3528
张良华,3528
葛酉新,3528
陈启福,3528
汤应雄,3528
赵金平,3528
刘建武,3528
陈夏丰,3528
谢维泉,3666
韩涛,3666
浦晓东,3666
陈同,3666
陈秋荣,3666
张本固,3694
彭品贤,3694
蔡广振,3694
梁建辉,3694
方丹青,3694
林清文,3694
蔡平,3694
张鑫,3694
卓帅,3892
刘斌,3892
