id,year,text,en
579,1994,"１.　供心的保护。。。脑死亡的特征是自主呼吸丧失,如果在这特定状态下和有限时间内,争取建立人工呼吸,就有可能保持循环的继续和供心的血供;避免或缩短热缺血时间以减轻缺血性损害,对保护供心的意义尤为重要。故在确认脑死亡后不是匆忙开胸切取心脏,而应争取先重建呼吸、维持循环以缩短热缺血时间,甚至可以避免热缺血的发生。多数供心","1. Protection of donor heart. Brain death is characterized by loss of voluntary respiration, and if artificial respiration is sought to be established in this particular state and within a limited time, it is possible to maintain the continuation of circulation and blood supply to the heart; avoiding or shortening the time of thermal ischemia to reduce ischemic damage is particularly important for the protection of donor heart. Therefore, after confirming brain death, there is no rush to open the chest to remove the heart, but [instead] strive to re-establish ventilation and maintain circulation to shorten the warm ischemia time, and even avoid the occurrence of warm ischemia."
591,1997,"采用血管内膜外翻连续缝合。1.3供体的心肌保护供体脑死亡后,应保持呼吸道通畅,建立人工辅助呼吸和静脉通道,保持","1.3 Donor heart protection. After the donor’s brain death, the airway should be kept unobstructed, artificial assisted breathing and venous channels should be established to maintain…"
0371,1999,"钟,转流中尿量800~1000ml,超滤液150~1000ml。鱼精蛋白用量是肝素的1.5倍。二、供心保护方法3例供者为25~26岁的男性,脑死亡后用麻醉机维持呼吸,静脉输液维持循环功能,分离上下腔静脉、主动脉后,结扎切断上腔静脉,全身肝素化,阻断主动脉经主动脉根部灌注4℃改良St","***Zhong, the urine volume in the bypass is 800~1000ml, and the ultrafiltrate is 150~1000ml. The dosage of protamine is 1.5 times that of heparin. 2. Methods of Donor Heart Protection: Three donors were 25 to 26-year-old males. After brain death, they used an anesthesia machine to maintain breathing and intravenous infusion to maintain circulatory function. After separating the superior vena cava and aorta, the superior vena cava was ligated and cut, and the whole body was heparinized. , Blocking the aorta perfusion through the aortic root 4℃ modified St"
3280,1999,"意图。心脏吻合时间61分钟,其中左房吻合25分、下腔吻合14分钟、上腔吻合6分钟、主动脉吻合7分钟、肺动脉吻合9分钟。三、供心的心肌保护保持脑死亡供体的呼吸道通畅,建立人工辅助呼吸,建立静脉通路以保持血流动力学的相对稳定。主动脉阻断后,经主动脉根部先灌注15℃St.Thomas液Z","***intention. The cardiac anastomosis took 61 minutes, including 25 minutes for left atrial anastomosis, 14 minutes for inferior cavity anastomosis, 6 minutes for superior cavity anastomosis, 7 minutes for aortic anastomosis, and 9 minutes for pulmonary artery anastomosis. 3. Myocardial protection of the donor heart keeps the airway unobstructed of brain-dead donors, establishes artificial assisted breathing, and establishes venous access to maintain the relative stability of hemodynamics. After the aorta is blocked, infuse 15℃ St.Thomas solution Z through the aortic root first"
3,2000,"血时间[2].自主呼吸丧失的脑死亡供体,在特定条件下应尽可能迅速建立辅助呼吸支持循环,维持供心的血氧供应,避免或缩短热缺血时间[3],同时迅速","For brain-dead donors with loss of spontaneous breathing, under certain conditions, an auxiliary respiratory support cycle should be established as quickly as possible to maintain the blood oxygen supply of the donor heart, avoid or shorten the warm ischemia time [3], and at the same time quickly…"
6,2000,"我们在处理供心过程中坚持尽量缩短热缺血时间的原则,供体大脑死亡后,首先分秒必争地建立呼吸与静 脉通道,人工呼吸及快速补充血容量,并同时给予必要的血管活性","While handling the donor heart, we adhere to the principle of shortening the warm ischemia time as much as possible. After donor brain death, we first establish breathing and venous channels, artificial ventilation and rapid blood volume supplementation, and at the same time give the necessary vascular activity."
35,2002,"供体均为青年男性,血型:2例B型,1例A型,车祸伤致脑死亡后气管插管辅助呼吸并维持循环稳定。全身肝素化后(3mg/kg),阻断主动",The donors were all young males with the following blood types: 2 cases of type B and 1 case of type A. Tracheal intubation assisted breathing and maintained stable circulation after brain death caused by a traffic accident.
59,2002,"时间,是获得高质量供心的关键。具体措施:(1)供者脑死亡后迅速建立人工呼吸、尽可能维持血流动力学稳定;(2)在","Time is the key to obtaining high-quality donors. Specific measures: (1) Establish artificial respiration quickly after the donor's brain death, and maintain hemodynamic stability as much as possible…"
83,2003,"供受体HLA抗原检测结果见表1。1.2.2供心保护脑死亡后用麻醉机维持呼吸,建立静脉通路维持循环功能。肝素化后","2.2 Donor heart protection. After brain death, maintain breathing with an anesthesia machine, and establish venous access to maintain circulatory function."
101,2003,"响移植的成败和远期存活质量[2]。我们认为确定供体脑死亡后,迅速建立人工呼吸,就有可能保持循环的继续和供心的血","We believe that after the donor’s brain death is determined, artificial respiration is established quickly, and it is possible to maintain the continuation of the circulation and the blood supply to the heart ."
146,2004,"体体重相差50%)。1.2手术方法(1)供心摘取:脑死亡后,用麻醉机维持呼吸,静脉输液维持循环功能,全身肝素化","1.2 Surgical methods (1) Donor heart extraction: After brain death, use an anesthesia machine to maintain ventilation, intravenous infusion to maintain circulatory function…"
172,2004,"1.2供体心脏保护方法供体死亡后行人工呼吸、循环支持,胸骨正中切口入路剪开心包,从上腔静脉给予肝素3mg/kg,游","1.2 Donor cardioprotection method. After the death of the donor, artificial respiration and circulatory support were performed."
