file_name,title_ch,author_ch,journal,year,issue,abstract_ch
0001.txt,体外膜肺氧合技术在心死亡供体肝脏维护中的应用探索 - 中国学术期刊网络出版总库,欧晏娇; 邓永; 刘炜; 张世新; 张雷达,第三军医大学学报; Journal of Third Military Medical University,,,目的 探索体外膜肺氧合技术在心死亡供体肝脏维护中的应用。方法 对我院36例心脏死亡的供体肝脏器官采用不同的方式进行保护，分为使用ECMO保护心脏死亡器官捐献DCD供体肝脏组(ECMO组)与未使用ECMO保护DCD供体肝脏组(无ECMO组)。供体肝脏器官在进行分类保护之前，均评估及维护供体内环境，积极纠治疗。肝功能异常时予以护肝治疗。在供体维持治疗过程中，ECMO组采用ECMO技术维护供体。无ECMO组及时撤除生命支持，待心停跳5分钟后获取供体。观察移植前供体肝脏病理、原发性移植肝无功能发生率、缺血性胆道病发生率、急性排斥反应发生率、移植后肝功能等。结果 移植前供体肝，ECMO组与无ECMO组在肝细胞坏死方面差异有统计学意义(P=0.026)，在肝细胞脂肪变性及肝细胞变性上差异均无统计学意义。ECMO组与无ECMO组在原发性移植肝无功能发生率、缺血性胆道病变发生率上差异均有统计学意义(P=0.045，0.026)。移植肝后ALT、AST、TBIL、Alb与PT指标，ECMO组与无ECMO组的肝功能各指标均随着时间的推移慢慢降低，且ECMO组各指标值均低于无ECMO组，差异均有统计学意义。结论 体外肺氧合技术在心死亡供体肝脏维护中有良好效果。
0002.txt,同种原位心脏移植供心的保护,孙国成; 蔡振杰; 刘维永; 万明明; 杨光,第四军医大学学报; JOURNAL OF THE FOURTH MILITARY MEDICAL UNIVERSITY,2000,5,
0003.txt,同种原位心脏移植外科围术期处理,孙国成; 蔡振杰; 刘维永; 汪钢; 李彤; 王伟宪,第四军医大学学报; JOURNAL OF THE FOURTH MILITARY MEDICAL UNIVERSITY,2000,5,目的　探讨采用同种原位心脏移植治疗终末期心脏病的外科围术期处理 .方法　 1例 2 9岁男性终末期心脏病患者接受同种原位心脏移植 ，供心保护采用冷晶体心脏停搏液顺行灌注 .术后采用新的三联免疫抑制治疗 .结果　患者存活至今 ，心理状态稳定 ，无明显排异迹象 ，血流动力学稳定 ，心功能  级 ，生活质量良好 .结论　心脏移植是治疗终末期心脏病唯一可行的方法 ，围术期处理是心脏移植成败的重要环节
0004.txt,同种异体心脏移植长期存活(附1例报告),邹小明; 王武军; 张振,第一军医大学学报; Journal of First Military Medical University,2000,5,目的 介绍我院首例同种异体原位心脏移植术的围手术期处理及排斥反应监测、治疗经验。方法 切取供体（24岁男性脑死亡者）心脏并原位移植给受体（43岁女性终末期扩张性心肌病患者），并在术后进行严格的监护治疗和随防。供心手术历时50 min，移植心脏热缺血时间为0 min，冷缺血时间为70 min；受体手术历时290 min，体外循环总时间123 min，主动脉阻断73 min。术后采用FK 506，骁悉及泼尼松行免疫抑制治疗，同时用彩色多普勒超声心动图监测排斥反应。结果 患者现已健康生存160 d，心、肝、肾功能正常。结论 心脏移植是治疗终末期心脏病的最有效方法，术后处理是确保心脏移植成功的关键。
0005.txt,同种原位心脏移植1例报告,蔡振杰; 李彤; 杨剑; 刘维永; 汪刚; 张卫达; 孙国成; 杨光; 熊利泽; 陈敏; 王伟宪; 万明明; 薛卫斌; 杨秀玲,解放军医学杂志; MEDICAL JOURNAL OF CHINESE PEOPLE’S LIBERATION ARMY,2000,4,
0006.txt,原位心脏移植术后成活28个月,许林海; 孔颂阳; 倪科伟; 钱文伟; 朱理; 严志焜,浙江临床医学; ZHEJIANG CLINICAL MEDICAL JOURNAL,2000,1,于１９９７年６月１９日为一例终末期扩张性心肌病患者施行了同种原位心脏移植术，至今存活质量良好。本例有四个特点： １供体血 ＨＢｓＡｇ（＋）， ＨＢｅＡｂ（＋）． ＨＢｃＡｂ（＋）．术后病人无乙肝病毒感染征象； ２强凋供心保护是手术成败的关键；３采用国产赛斯平作为主要免疫抑制药物；４术后小剂量免疫抑制药物联合抗排斥治疗，避免了严重并发症。
0007.txt,尸肾移植249例回顾总结,周华; 武小桐; 杨诗玉; 黄丽萍; 陈再彬; 高丽萍; 王振兴; 卫焘,山西医药杂志; SHANXI MEDICAL JOURNAL,2000,5,目的　总结尸肾移植 2 49例的经验。方法　分析 1992年 5月至 2 0 0 0年 4月 2 49例的临床资料 ，包括一般资料 ，组织配型 ，供肾情况 ，手术技术 ，免疫抑制剂的应用 ，术后并发症的发生情况等。结果　人 /肾存活率分别为术后 1个月 98% / 94.4% ，1a 92 .3% / 88.5 % ，3 a 82 .2 % / 78.2 % ，5 a 76 .5 % / 6 1.8%。结论　高质量的取肾和植肾术及良好的 HL A配型是提高存活率的基础 ，霉酚酸酯 (MMF)可降低急性排斥的发生率 ，合理的免疫抑制及感染的预防是提高存活率的关键。
0008.txt,活体亲属供肾移植12例报告,管德林; 韩修武; 何不朗; 马潞林; 杨伟利; 许建军; 韩志友; 高居忠,中华器官移植杂志; CHINEAE JOURNAL OF ORGAN TRANSPLANTATION,2000,1,目的　探讨活体亲属供肾移植的安全性、可行性， 并评价活体亲属供肾移植的临床效果。方法　对１２ 例活体亲属供肾移植的资料进行分析。结果　１２ 名供者均无并发症出现， 术后７～９ ｄ 出院。１ 例受者术后移植肾功能延迟至第６ 周恢复正常；１ 例受者出现急性排斥反应， 应用激素冲击治疗３ｄ 后逆转； 余１０ 例受者肾功能均恢复良好。随访满６ 个月的８ 例受者， 其血尿素氮、肌酐和内生肌酐清除率分别为８ ．２ ｍ ｍｏｌ／Ｌ、９７ ．２ μｍｏｌ／Ｌ和１ ．５ ｍｌ·ｓ－ １·１．７３ ｍ －２ 。结论　活体亲属供肾是安全可行的； 受者的人／ 肾存活率优于尸体供肾； 活体亲属供肾是扩大供肾来源的较好途径。
0009.txt,同种大鼠颈部心脏异位移植模型的建立与观察,夏家红; 杨辰垣,中华实验外科杂志; CHINESE JOURNAL OF EXPERIMENTAL SURGERY,2000,6,目的　建立简便易行的同种心脏异位移植动物模型。方法　在显微镜和低温条件下 ，切取供心 ，保留肺动脉及主动脉弓第 1分支 ，分离受体颈部皮肤及皮下组织 ，分离出一侧的颈浅静脉及颈动脉。将供体主动脉第 1分支和受体颈动脉吻合 ，将供体肺动脉和受体颈浅静脉吻合。术后通过触摸及心电图检测供心心跳及其功能 ，术后第 1、3、5、7、9、11、14天动态切取供心 ，病理学检查确定排斥情况。结果　共进行移植模型 46例 ，成功 41例 ，成功率达 89.1% ，平均存活 10d。结论　这种移植术式易于暴露 ，手术时间短 ，创伤及污染少 ，可以再次手术 ，观察方便 ，成功率高 ，值得推广。
0010.txt,肝肾联合切取及灌注方法,张洪义; 李捷雷; 苗长春; 张宏义; 何晓军; 肖梅; 张希东; 洪泉; 王喆; 金凤竹,空军总医院学报; JOURNAL OF GENERAL HOSPITAL OF AIR FORCE，PLA,2000,3,目的　快速联合切取供体肝肾的可行性。　方法　用 4℃ U W液行腹主动脉、门静脉双重冷灌注快速切取供体肝肾2 4次 ，其中动物脏器 19次 ，人体脏器 5次 ，并完成人体原位肝移植 1例 ，肾移植 5次。　结果　移植肝脏及移植肾脏表现功能正常 ，无原发性移植物功能衰竭。　结论　快速灌注切取供体肝肾是可行的。
0011.txt,同种异体原位肝移植2例报告,李立; 张炳彦; 杨达宽; 张捷; 黄青青; 张小文; 冉江华; 唐继红; 李晓延; 李晓; 黄明; 唐晶,中国普外基础与临床杂志; CHINESE JOURNAL OF BASES AND CLINCS IN GENERAL SURGERY,2000,2,
0012.txt,心肾联合移植1例,杨康; 吴雄飞; 廖崇先; 杨军民; 王明荣; 曾会昌; 张伟; 熊刚; 王海东; 吴尉,第三军医大学学报; Acta Academiae Medicine Militaris Tertiae,2001,11,目的　总结心肾联合移植治疗终末期扩张性心肌病合并肾功能衰竭的经验和教训。方法　患者男性 ，5 3岁。入院诊断 :①扩张性心肌病 ，心功能Ⅳ级。②肾功能不全。③糖尿病。供体男性 ，2 8岁 ，脑外伤后脑死亡患者。ABO血型配合 ，淋巴细胞毒试验阴性。 2 0 0 0年 6月 2 6日在全麻中低温体外循环下行标准法原位心脏移植术 ，术中出现肾功能衰竭 ;心脏移植术后 6h行肾移植术。结果　术后心肾功能恢复良好 ，彩色多谱勒超声动态检查 :供肾血流灌注良好 ;供心FS 39～ 5 8% ，EF5 5  73 %。术后 72h发生心脏急性排斥反应 ，以ATG 2 0 0mg/d、甲基强地松龙 1.0g/d冲击治疗 2d后好转。术后 15d再次发生供心供肾急性排斥反应 ，导致心脏肾脏破裂 ，急性心包填塞。经心包引流术和肾周血肿清除引流术并ATG 2 0 0mg/d、甲基强地松龙 1.0g/d冲击治疗后好转。术后 2 5d出现肺部感染 ，30d呼吸衰竭 ，治疗无效于术后 38d死于绿脓杆菌性脓毒血症。结论　心肾联合移植是挽救终末期心脏病合并肾功能衰竭病人生命的有效方法。解决好供心和供肾的治疗矛盾以及抗排斥和感染的矛盾是手术成功和延长存活的关键
0013.txt,同种异体原位心脏移植术体外循环特点(附1例报告),邹小明; 刘亚湘; 黄志勇; 王武军,第一军医大学学报; Journal of First Military Medical University,2001,5,目的探讨心脏移植术体外循环心肌保护、血液成分保护及预防排斥反应，体外循环技巧等问题。方法对体外循 环下同种异体原位心脏移植患者的临床资料进行分析。结果采用标准法该例患者进行原位心脏移植，供心热缺血时间 为０ｍｉｎ，冷缺血时间为７０ｍｉｎ，总体外循环时间为１２３ｍｉｎ，升主动脉阻断时间７３ｍｉｎ。患者已存活２５０ｄ。术后患者无 排斥反应、感染、心及肝肾功能不全等并发症。结论良好的心肌保护、血液成分保护、体外循环过程预防排斥反应及完 善的体外循环操作技巧是心脏移植成功的关键。
0014.txt,原位心脏移植手术的体外循环管理,刘亚湘; 毛向辉; 吴华; 邹小明; 王武军; 杨锡耀,第一军医大学学报; Journal of First Military Medical University,2001,8,
0015.txt,大鼠异位心脏移植模型的改进,陈建锋; 高毅; 孙尔维; 汪爽,第一军医大学学报; Journal of First Military Medical University,2001,9,目的 改进制作大鼠心脏移植模型的方法。方法 在陈忠华术式的基础上加以改进，用含肝素的冰生理盐水自下腔静脉直接灌注；采用腹腔异位移植方法，将供心主动脉和肺动脉分别与受者的腹主动脉和下腔静脉端侧吻合，以长哈巴狗夹代替两个弯血管夹。结果 72例大鼠心脏移植手术成功率提高到90%以上，手术时间缩短为70 min。 结论 采用作者所改进的方法能提高手术成功率，缩短手术时间。
0016.txt,肺移植的动物实验研究,周仑; 陈椿; 金友松; 林培裘; 林若柏,福建医科大学学报; Journal of Fujian Medical University,2001,1,目的　观察实验动物肺移植后肺功能等恢复情况。　方法　用犬及牛做左肺自体及异体移植各 4次。　结果　移植肺通气及换气功能正常 ，移植后动物恢复自主呼吸 ，能站立行走。　结论　本方法可供做动物的肺移植实验 ，为临床开展肺移植做准备
0017.txt,32例同种异体肾移植手术的护理配合体会,阮素娥; 刘景和,福建医药杂志; Fujian Meidical Journal,2001,5,
0018.txt,心脏移植术后抗排斥反应治疗,王武军; 张振; 邹小明,广东医学; Guangdong Medical Journal,2001,5,目的　研究新三联免疫抑制方案在心脏移植中的应用及其副作用。方法　为 1例扩张性心肌病患者进行了同种异体原位心脏移植手术 ，术后采用骁悉 (MMF)、普乐可复 (FK5 0 6 )、强的松 (Pred)三联免疫抑制剂进行抗排斥反应治疗。结果　患者术后恢复平稳 ，心内膜心肌活检未发现排斥反应 ，其主要副作用是胃肠道反应和轻度骨髓抑制。结论　新三联免疫抑制治疗方案在心脏移植中能有效地抑制移植后急性排斥反应的发生。
0019.txt,同种异体原位肝移植5例报告,钱海鑫; 田力平; 周晓俊; 刘建夏; 毛忠琦; 胡浩; 秦磊; 陈易人,肝胆胰外科杂志; Journal of Hepatopancreatobiliary Surpery,2001,3,目的 :总结肝移植的临床经验。方法 :对我院开展的 5例原位肝移植临床资料进行回顾分析。结果 :4例病人术后移植肝功能恢复良好 ;死亡 1例 ，死于心肺功能衰竭。结论 :开展肝移植的初期应严格掌握适应证 ，选择条件较好的受者 ;完善的手术技术、围手术期的严密监测、以及并发症的防治与正确处理等是肝移植成功的重要条件
0020.txt,心脏移植治疗终末期扩张性心肌病的体会,成杞润; 姚建民; 贾清仁; 牛建立; 张笑萌; 马凤霞,北京军区医药,2001,3,<正>2000年9月我院为1例终末期扩张性心肌病患者实施了原位心脏移植手术，患者术后恢复顺利，至今存活已3个月，无并发症，现就围手术期处理体会报告如下。1 临床资料1.1 一般资料1.1.1 受体情况:男，51岁，体重58kg。发现心脏增大5年，轻微活动后心慌、气短1年，劳动力丧失，曾有2次急性左心衰竭史，多次住院治疗病情改善不明显。查体:体温36.5℃，血压108/52mmHg。全身皮肤粘膜无黄染、紫绀，无颈静脉怒张，双肺呼吸音清晰，无干湿性罗音;心界向左侧明显扩大，心率108/min，律齐，心
0021.txt,同种异体肾移植35例,朱华臣; 汤发琪; 苏大保; 谢历; 郑孝国; 朱小兰,湖南医学; Hunan Medical Journal,2001,1,
0022.txt,同种异体原位肝移植2例报告,顾元龙; 卞晋荣; 陶建中; 马荣赓; 沈安东; 陈布克; 何友钊; 吴小龙,交通医学; Medical Journal of Communications,2001,2,目的 :探讨肝移植治疗肝癌的方法和效果。方法 :2 0 0 0年 6、9月对 2例原发性肝癌病人施行原位肝移植手术。结果 2例病人术后移植肝功能良好并存活至今 ，生活自理 ，能参加日常工作和体育锻炼 ，生活质量良好。结论 :原位全肝移植是治疗肝癌的有效方法之一。
0023.txt,原位肝移植术后并发症的诊断和治疗,陈焕伟; 甄作均; 苏树英; 许卓明; 计勇; 吴敏,岭南现代临床外科; LINGNAN Modern Clinics in Surgery,2001,1,目的 总结7例原位肝移植术后并发症的诊治经验。方法 从1999年12月～2000年11月共施行原位肝移植7例。结果 全组存活5例，死亡2例。术后并发症包括:颅内出血、腹腔内出血、肺感染、胸腔积液、ARDS、急性排斥反应、高胆红素血症、下腔静脉狭窄等。结论 肝移植术后并发症较多;术中正确的手术操作，彻底细致的止血，术后凝血功能的调控，感染及肾功能不全的预防，高胆红素血症的对症处理，免疫抑制剂的合理使用等措施能有效地减少肝移植术后并发症的发生。
0024.txt,尸体肾移植203例次报告,姚许平; 翁国斌; 陈光耀; 姜继光; 陈跃英; 胡勤勇; 许新民; 温海涛; 齐勇; 汤春波,现代实用医学; Modern Practical Medicine,2001,3,目的　探讨尸体肾移植的临床特点。　方法　总结我院 1992年 12月～ 2 0 0 1年 4月 197例2 0 3例次尸体肾移植临床资料。　结果　①本组 1、3、5年人  肾存活率分别为 94.2 %  89.0 %、87.6 %  78.8%、75 .0 %  6 6 .7%。②高危尿毒症患者 118例 ，其 1、3、5年人  肾存活率分别为 92 .5 %  87.7%、83.1%  76 .1%、6 8.2 %  5 4.5 % ，与普通尿毒症患者间的差异无统计学意义。③肾移植术后主要的严重并发症为肺部感染、心功能衰竭、肝功能严重损害 ，是肾移植术后死亡的主要原因。④肾移植术后恶性肿瘤发生率为 2 .5 %。　结论　①尸体肾移植有较满意的人  肾存活率。②肾移植术后免疫抑制剂的合理应用、对术后并发症的预防和及时治疗是提高尸体肾移植人  肾存活率的重要因素
