id,hospital_name,computed_alternate_names,province,city,address,zip,phone,web,email,updated_at
1,北京佑安医院,,北京市,北京市,北京丰台区右安门外西头条8号,100069,电话:+86 10 8399 7599,nan,nan,2018-12-04T18:59:56Z
2,北京朝阳医院,,北京市,北京市,北京市朝阳区白家庄8号,100022,电话:+86 10 8523 1000,nan,nan,2018-12-04T19:00:04Z
3,北京协和医院,中国医学科学院北京协和医院; 中国协和医科大学北京协和医院; 中国医学科学院中国协和医科大学北京协和医院,北京市,北京市,北京市海淀区东单帅府园1号,100005,电话:+86 10 6915 6114,nan,nan,2019-08-19T19:51:45Z
4,北京大学第一医院,,北京市,北京市,北京市西城区西什库大街8号,100034,电话:+86 10 6655 1122,nan,nan,2018-12-04T19:01:42Z
5,北京大学人民医院,,北京市,北京市,北京市西城区西直门南大街11号,100034,电话:+86 10 8832 6666,nan,nan,2018-12-04T19:01:42Z
6,北京大学第三医院,,北京市,北京市,北京市海淀区花园北路49号,100083,电话:+86 10 6238 8404,nan,nan,2018-12-04T19:01:42Z
7,北京友谊医院,首都医科大学附属北京友谊医院; 首都医学院附属北京友谊医院,北京市,北京市,北京市西城区永安路95号,100000,电话:+86 10 6301 4411,nan,nan,2018-12-04T19:01:43Z
8,中日友好医院,北京中日友好医院,北京市,北京市,北京市朝阳区樱花东路2号,100029,电话:+86 10 8420 5566,nan,nan,2018-12-04T19:01:43Z
9,首都医科大学附属北京安贞医院,,北京市,北京市,北京市朝阳区安贞路2号,100029,电话:+86 10 6441 2431,nan,nan,2018-12-04T19:01:43Z
10,中国医学科学院附属阜外心血管病医院,,北京市,北京市,北京市西城区北礼士路167号,100037,电话:+86 10 8839 8866、68314466,nan,nan,2018-12-04T19:01:43Z
11,京东中美医院,,北京市,北京市,北京东燕郊开发区迎宾北路640号,101601,电话:+86 010-61596188,nan,nan,2018-12-04T19:01:43Z
12,首都医科大学附属北京世纪坛医院,,北京市,北京市,北京市海淀区羊坊店铁医院路10号,100038,电话:+86 10 6392 5588,nan,nan,2018-12-04T19:01:43Z
13,北京中医药大学东直门医院,,北京市,北京市,北京市东城区海运仓5号,100700,电话:+86 10 8401 3276,nan,nan,2018-12-04T19:01:43Z
14,首都医科大学附属北京同仁医院,,北京市,北京市,北京市丰台区马家堡东路88号,100730,电话:+86 10 8729 4860,nan,nan,2018-12-04T19:01:44Z
15,北京市航天中心医院,,北京市,北京市,北京市海淀区玉泉路15号,100049,电话:+86 10-59971199,nan,nan,2018-12-04T19:01:44Z
16,首都医科大学宣武医院,首都医科大学北京宣武医院,北京市,北京市,北京市宣武区长椿街45号,100053,电话:+86 10 6301 2835,nan,nan,2018-12-04T19:01:44Z
17,北京地坛医院,,北京市,北京市,北京市朝阳区京顺东街8号,100015,电话:+86 10 8432 2000,nan,nan,2018-12-04T19:01:44Z
18,清华大学第一附属医院,华信医院,北京市,北京市,北京市朝阳区酒仙桥一街坊6号,100016,电话:+86 10 6436 9999,nan,nan,2018-12-04T19:01:44Z
