hospital,lon,lat
福建医科大学附属协和医院,119.304548,26.077703
济南市第四人民医院,116.9796677,36.694931
中国人民解放军第181医院,110.2918521,25.264339
南京医科大学附属无锡人民医院,120.305056,31.568951
江南大学附属无锡市胸科医院,120.2693166,31.5682426
华中科技大学同济器官移植研究所,114.301165,30.599041
南京医科大学附属无锡市人民医院,120.322267,31.542596
中国人民解放军第三0三医院,108.330791,22.796233
广州军区广州总医院,113.256623,23.141807
华中科技大学同济医学院附属协和医院,114.289076,30.576258
沈阳军区总医院,123.4411316,41.7705366
解放军第202医院,123.413742,41.78626
解放军81医院,118.793922,32.034334
第四军医大学西京医院,108.979147,34.277353
浙江省人民医院,120.167902,30.284927
第三军医大学西南医院,106.4470198,29.5317905
解放军第三○九医院,123.4191851,41.8450852
徐州医学院附属医院,117.178513,34.263371
广东深圳市孙逸仙心血管医院,113.947721,22.556718
南昌大学第一附属医院,115.865666,28.589639
南昌大学第二附属医院,115.901835,28.6823475
威海市立医院,122.115251,37.502265
苏州大学附属第一医院,120.63309,31.304123
湖南省郴州市第一人民医院,113.0351343,25.7879447
昆明市延安医院,102.730574,25.042939
哈尔滨医科大学附属第二医院,126.616301,45.696577
哈尔滨医科大学第二临床医学院心外科,126.6238,45.692866
第一军医大学南方医院,113.334184,23.182586
山东省栖霞市人民医院,120.8357049,37.3041372
山东医科大学附属医院,118.061108,36.792878
首都医科大学附属北京安贞医院,116.4044947,39.9729206
广东省东莞市人民医院,113.749171,23.055156
江苏省扬州市第一人民医院,119.452683,32.394376
山西医科大学第一临床医学院心外科,112.555319,37.852056
同济大学附属东方医院,121.513331,31.237688
江苏大学附属人民医院,119.444765,32.206158
南京军区福州总医院,119.2814233,26.0901996
广州军区武汉总医院,114.34357,30.531249
广东省人民医院,113.287201,23.125672
合肥市第一人民医院,117.280382,31.867416
复旦大学附属中山医院,121.4547657,31.1976343
云南省第一人民医院,102.707692,25.032463
广州医学院第一附属医院,113.23067,23.096999
中山大学附属第一医院,113.289925,23.125445
镇江市第一人民医院,119.444829,32.205964
广东省深圳市孙逸仙心血管医院,114.129132,22.556488
昆明医科大学附属延安医院,102.68767,25.044176
南通大学附属医院,120.864831,32.008761
广州医学院广州呼吸疾病研究所胸外科,113.262398,23.112064
昆明医学院第一附属医院,102.6932701,25.0416461
南京医科大学第一附属医院,118.767221,32.049147
上海第二医学院附属瑞金医院,121.466585,31.210443
福建省心血管病研究所,119.306548,26.0874805
广州医学院第二附属医院,113.2781063,23.0897498
泸州医学院附属医院,105.447131,28.888685
四川大学华西医院,104.062323,30.6432633
